,$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
0,0.0,0.07692,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.13249
1,0.0,0.0,0.33333,0.22581,0.75,0.25,0.0,0.0,0.0,0.1973
2,0.0,0.23077,1.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.06853
3,0.0,1.0,0.33333,0.03226,0.75,0.25,0.0,0.0,0.0,0.10546
4,0.0,0.0,0.33333,0.03226,0.5,0.5,0.0,0.0,0.0,0.18502
5,0.0,0.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.13574
6,0.0,0.0,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.29576
7,0.0,0.23077,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.06864
8,0.0,1.0,0.0,0.22581,0.25,0.75,0.0,0.0,0.0,0.15671
9,0.0,0.07692,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.22812
10,0.0,1.0,0.0,0.03226,0.9,0.1,0.0,0.0,0.0,0.14061
11,0.0,0.15385,0.33333,0.09677,0.5,0.5,0.0,0.0,0.0,0.07269
12,0.0,0.23077,1.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.07535
13,0.0,0.0,0.33333,0.09677,0.75,0.25,0.0,0.0,0.0,0.16592
14,0.0,0.15385,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.10861
15,0.0,0.07692,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
16,0.0,1.0,1.0,1.0,0.1,0.9,0.0,0.0,0.0,0.21339
17,0.0,0.07692,0.33333,0.22581,0.9,0.1,0.0,0.0,0.0,0.10124
18,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.15707
19,0.0,0.61538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2771
20,0.0,0.15385,1.0,0.22581,0.75,0.25,0.0,0.0,0.0,0.06122
21,0.0,0.07692,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.1031
22,0.0,0.15385,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
23,0.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0,0.0,0.12282
24,0.0,0.0,1.0,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
25,0.0,0.23077,1.0,0.48387,1.0,0.0,0.0,0.0,0.0,0.07389
26,0.0,0.61538,0.33333,0.48387,1.0,0.0,0.0,0.0,0.0,0.21171
27,0.0,0.15385,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
28,0.0,0.23077,0.33333,0.09677,0.9,0.1,0.0,0.0,0.0,0.05922
29,0.0,0.61538,0.0,0.22581,0.9,0.1,0.0,0.0,0.0,0.16478
30,0.0,1.0,0.0,0.09677,0.0,1.0,0.0,0.0,0.0,0.0
31,0.0,1.0,1.0,0.09677,0.9,0.1,0.0,0.0,0.0,0.0859
32,0.0,0.61538,0.33333,0.48387,0.0,1.0,0.0,0.0,0.0,0.0
33,0.0,0.07692,0.0,0.03226,0.1,0.9,0.0,0.0,0.0,0.17687
34,0.0,0.61538,0.33333,0.03226,0.9,0.1,0.0,0.0,0.0,0.11043
35,0.0,0.61538,1.0,0.09677,0.25,0.75,0.0,0.0,0.0,0.12243
36,0.0,0.61538,0.33333,0.48387,0.5,0.5,0.0,0.0,0.0,0.15713
37,0.0,0.07692,1.0,0.48387,0.75,0.25,0.0,0.0,0.0,0.10904
38,0.0,0.23077,1.0,0.48387,0.9,0.1,0.0,0.0,0.0,0.07725
39,0.0,0.23077,0.0,0.03226,0.5,0.5,0.0,0.0,0.0,0.10547
40,0.0,0.23077,0.0,0.09677,0.1,0.9,0.0,0.0,0.0,0.08904
41,0.0,0.61538,1.0,0.22581,0.1,0.9,0.0,0.0,0.0,0.11413
42,0.0,0.23077,0.33333,0.22581,0.0,1.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.12102
44,0.0,1.0,0.0,0.03226,1.0,0.0,0.0,0.0,0.0,0.14427
45,0.0,0.23077,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
46,0.0,0.0,1.0,1.0,0.9,0.1,0.0,0.0,0.0,0.3037
