$mon,$osd,$driver,$worker,$read,$write,$container,$object,$size,$<op-write
1,20,1,8,10,90,16,4096,0,102.6833333333
1,20,2,2,75,25,16,4096,0,33.9791666667
1,20,4,32,25,75,16,4096,0,403.1394594595
1,6,1,1,50,50,16,4096,0,30.2705555556
1,20,1,8,0,100,16,4096,0,101.7513513514
1,8,1,4,100,0,16,4096,0,0
1,4,4,32,90,10,16,4096,0,133.1572222222
1,20,4,8,75,25,16,4096,0,68.4486111111
1,6,1,4,100,0,16,4096,0,0
1,20,2,16,90,10,16,4096,0,89.8775675676
1,20,1,4,25,75,16,4096,0,53.97
1,8,4,8,10,90,16,4096,0,98.0802777778
1,6,1,2,75,25,16,4096,0,31.8411111111
1,30,2,8,50,50,16,4096,0,86.3622222222
1,20,4,4,75,25,16,4096,0,40.9197222222
1,10,1,4,10,90,16,4096,0,55.4466666667
1,8,1,4,50,50,16,4096,0,49.2911111111
1,4,4,32,50,50,16,4096,0,331.6986486486
1,10,4,32,75,25,16,4096,0,294.4489189189
1,30,1,1,25,75,16,4096,0,32.3136111111
1,6,1,2,50,50,16,4096,0,36.8327777778
1,10,2,8,100,0,16,4096,0,0
1,6,2,8,75,25,16,4096,0,64.7919444444
1,8,2,2,50,50,16,4096,0,37.5780555556
1,10,4,16,10,90,16,4096,0,199.6341666667
1,10,1,8,25,75,16,4096,0,96.6577777778
1,6,4,8,100,0,16,4096,0,0
1,20,2,2,90,10,16,4096,0,34.2991666667
1,6,4,16,0,100,16,4096,0,200.5113888889
1,8,2,8,0,100,16,4096,0,102.7316666667
1,10,4,16,90,10,16,4096,0,89.39
1,30,1,4,10,90,16,4096,0,55.5119444444
1,8,4,32,100,0,16,4096,0,0
1,20,2,4,90,10,16,4096,0,35.2344444444
1,10,2,2,75,25,16,4096,0,33.8197222222
1,8,2,4,10,90,16,4096,0,53.4197222222
1,6,4,4,25,75,16,4096,0,53.1766666667
1,20,4,32,90,10,16,4096,0,207.8902702703
1,4,2,4,0,100,16,4096,0,58.1458333333
1,30,2,8,75,25,16,4096,0,62.5822222222
1,4,1,8,50,50,16,4096,0,111.7683333333
1,4,2,16,100,0,16,4096,0,0
1,6,4,4,100,0,16,4096,0,0
1,30,4,8,75,25,16,4096,0,66.4386111111
1,8,2,4,0,100,16,4096,0,55.395
1,6,2,16,25,75,16,4096,0,189.9933333333
1,8,4,16,25,75,16,4096,0,192.8827777778
1,6,2,2,50,50,16,4096,0,37.0616666667
1,20,1,1,25,75,16,4096,0,31.9411111111
1,10,1,4,75,25,16,4096,0,40.4702777778
1,30,1,4,75,25,16,4096,0,37.8483333333
1,8,1,8,90,10,16,4096,0,43.8505555556
1,30,1,8,0,100,16,4096,0,102.8122222222
1,20,1,1,100,0,16,4096,0,0
1,30,2,8,0,100,16,4096,0,105.4183333333
1,4,4,16,0,100,16,4096,0,225.8572972973
1,4,1,2,10,90,16,4096,0,36.6733333333
1,8,2,4,90,10,16,4096,0,34.8072222222
1,10,4,16,25,75,16,4096,0,193.0856756757
1,10,2,8,50,50,16,4096,0,86.3259459459
1,8,2,4,50,50,16,4096,0,49.1658333333
1,8,1,4,10,90,16,4096,0,54.2361111111
1,10,1,1,25,75,16,4096,0,31.5488888889
1,20,1,2,75,25,16,4096,0,34.2980555556
1,6,4,4,90,10,16,4096,0,36.86
1,10,1,2,75,25,16,4096,0,33.4897222222
1,20,4,16,50,50,16,4096,0,186.1797222222
1,10,4,4,0,100,16,4096,0,55.7330555556
1,6,1,8,25,75,16,4096,0,87.4780555556
1,8,4,16,10,90,16,4096,0,198.5525
1,20,2,8,75,25,16,4096,0,61.0988888889
1,10,1,2,100,0,16,4096,0,0
1,10,4,8,25,75,16,4096,0,99.2394444444
1,8,4,4,90,10,16,4096,0,37.3572222222
1,6,1,4,90,10,16,4096,0,33.9411111111
1,30,2,8,100,0,16,4096,0,0
1,8,1,1,25,75,16,4096,0,31.9133333333
1,30,4,32,10,90,16,4096,0,418.0224324324
1,30,2,16,75,25,16,4096,0,136.2643243243
1,20,1,1,50,50,16,4096,0,31.7991666667
1,10,4,16,50,50,16,4096,0,183.8635135135
1,8,1,2,25,75,16,4096,0,38.9091666667
1,20,4,4,90,10,16,4096,0,35.4769444444
1,20,2,4,50,50,16,4096,0,48.6833333333
1,20,2,8,0,100,16,4096,0,101.6454054054
1,8,4,16,100,0,16,4096,0,0
1,4,2,2,90,10,16,4096,0,30.0033333333
1,30,2,8,25,75,16,4096,0,96.4194444444
1,4,1,2,50,50,16,4096,0,35.0222222222
1,6,4,8,50,50,16,4096,0,84.3055555556
1,8,4,32,25,75,16,4096,0,376.8141666667
1,8,2,2,90,10,16,4096,0,32.1755555556
